line_id,status,start,end,days,n_stations,stations
12,not_yet_open,2010-01-01,2012-11-04,1039,20,atlalilco|calle-11|culhuacan|eje-central|ermita|hospital-20-de-noviembre|insurgentes-sur|lomas-estrella|mexicaltzingo|mixcoac|nopalera|olivos|parque-de-los-venados|periferico-oriente|san-andres-tomatlan|tezonco|tlahuac|tlaltenco|zapata|zapotitlan
A,closed,2012-07-07,2012-08-21,46,1,penon-viejo
A,closed,2012-07-07,2012-08-23,48,1,santa-marta
A,closed,2012-07-07,2012-08-24,49,3,acatitla|la-paz|los-reyes
2,closed,2013-09-14,2013-10-07,24,1,zocalo-tenochtitlan
12,closed,2014-03-12,2015-10-28,596,5,calle-11|culhuacan|lomas-estrella|periferico-oriente|san-andres-tomatlan
12,closed,2014-03-12,2015-11-29,628,6,nopalera|olivos|tezonco|tlahuac|tlaltenco|zapotitlan
A,closed,2015-06-14,2015-08-23,71,5,acatitla|la-paz|los-reyes|penon-viejo|santa-marta
1,not_measured,2017-09-20,2017-09-27,8,20,balbuena|balderas|boulevard-puerto-aereo|candelaria|chapultepec|cuauhtemoc|gomez-farias|insurgentes|isabel-la-catolica|juanacatlan|merced|moctezuma|observatorio|pantitlan|pino-suarez|salto-del-agua|san-lazaro|sevilla|tacubaya|zaragoza
12,not_measured,2017-09-20,2017-09-27,8,20,atlalilco|calle-11|culhuacan|eje-central|ermita|hospital-20-de-noviembre|insurgentes-sur|lomas-estrella|mexicaltzingo|mixcoac|nopalera|olivos|parque-de-los-venados|periferico-oriente|san-andres-tomatlan|tezonco|tlahuac|tlaltenco|zapata|zapotitlan
2,not_measured,2017-09-20,2017-09-27,8,24,allende|bellas-artes|chabacano|colegio-militar|cuatro-caminos|cuitlahuac|ermita|general-anaya|hidalgo|nativitas|normal|panteones|pino-suarez|popotla|portales|revolucion|san-antonio-abad|san-cosme|tacuba|tasquena|viaducto|villa-de-cortes|xola|zocalo-tenochtitlan
3,not_measured,2017-09-20,2017-09-27,8,21,balderas|centro-medico|copilco|coyoacan|deportivo-18-de-marzo|division-del-norte|etiopia-plaza-de-la-transparencia|eugenia|guerrero|hidalgo|hospital-general|indios-verdes|juarez|la-raza|miguel-angel-de-quevedo|ninos-heroes|potrero|tlatelolco|universidad|viveros-derechos-humanos|zapata
4,not_measured,2017-09-20,2017-09-27,8,10,bondojito|canal-del-norte|candelaria|consulado|fray-servando|jamaica|martin-carrera|morelos|santa-anita|talisman
5,not_measured,2017-09-20,2017-09-27,8,13,aragon|autobuses-del-norte|consulado|eduardo-molina|hangares|instituto-del-petroleo|la-raza|misterios|oceania|pantitlan|politecnico|terminal-aerea|valle-gomez
6,not_measured,2017-09-20,2017-09-27,8,11,deportivo-18-de-marzo|el-rosario|ferreria-arena-ciudad-de-mexico|instituto-del-petroleo|la-villa-basilica|lindavista|martin-carrera|norte-45|tezozomoc|uam-azcapotzalco|vallejo
7,not_measured,2017-09-20,2017-09-27,8,14,aquiles-serdan|auditorio|barranca-del-muerto|camarones|constituyentes|el-rosario|mixcoac|polanco|refineria|san-antonio|san-joaquin|san-pedro-de-los-pinos|tacuba|tacubaya
8,not_measured,2017-09-20,2017-09-27,8,19,aculco|apatlaco|atlalilco|bellas-artes|cerro-de-la-estrella|chabacano|constitucion-de-1917|coyuya|doctores|escuadron-201|garibaldi-lagunilla|iztacalco|iztapalapa|la-viga|obrera|salto-del-agua|san-juan-de-letran|santa-anita|uam-i
9,not_measured,2017-09-20,2017-09-27,8,12,centro-medico|chabacano|chilpancingo|ciudad-deportiva|jamaica|lazaro-cardenas|mixiuhca|pantitlan|patriotismo|puebla|tacubaya|velodromo
A,not_measured,2017-09-20,2017-09-27,8,10,acatitla|agricola-oriental|canal-de-san-juan|guelatao|la-paz|los-reyes|pantitlan|penon-viejo|santa-marta|tepalcates
B,not_measured,2017-09-20,2017-09-27,8,21,bosque-de-aragon|buenavista|ciudad-azteca|deportivo-oceania|ecatepec|garibaldi-lagunilla|guerrero|impulsora|lagunilla|morelos|muzquiz|nezahualcoyotl|oceania|olimpica|plaza-aragon|ricardo-flores-magon|rio-de-los-remedios|romero-rubio|san-lazaro|tepito|villa-de-aragon
12,closed,2017-09-28,2017-10-29,32,4,nopalera|tlahuac|tlaltenco|zapotitlan
5,closed,2020-03-02,2020-03-16,15,2,hangares|terminal-aerea
1,closed,2020-04-23,2020-06-23,62,1,juanacatlan
12,closed,2020-04-23,2020-06-22,61,3,eje-central|san-andres-tomatlan|tlaltenco
2,closed,2020-04-23,2020-06-24,63,3,allende|panteones|popotla
4,closed,2020-04-23,2020-06-14,53,4,bondojito|canal-del-norte|fray-servando|talisman
5,closed,2020-04-23,2020-06-15,54,5,aragon|eduardo-molina|hangares|misterios|valle-gomez
6,closed,2020-04-23,2020-06-16,55,2,norte-45|tezozomoc
7,closed,2020-04-23,2020-06-17,56,3,constituyentes|refineria|san-antonio
8,closed,2020-04-23,2020-06-18,57,4,aculco|cerro-de-la-estrella|la-viga|obrera
9,closed,2020-04-23,2020-05-05,13,1,velodromo
9,closed,2020-04-23,2020-05-15,23,1,ciudad-deportiva
9,closed,2020-04-23,2020-06-20,59,1,lazaro-cardenas
A,closed,2020-04-23,2020-06-25,64,3,agricola-oriental|canal-de-san-juan|penon-viejo
B,closed,2020-04-23,2020-06-28,67,4,deportivo-oceania|olimpica|romero-rubio|tepito
9,closed,2020-05-07,2020-05-15,9,1,velodromo
2,closed,2020-07-05,2020-07-12,8,1,zocalo-tenochtitlan
2,closed,2020-07-05,2020-10-08,96,1,allende
1,closed,2020-07-06,2020-09-17,74,1,merced
2,closed,2020-09-27,2020-12-20,85,1,zocalo-tenochtitlan
2,closed,2020-12-08,2020-12-20,13,1,allende
1,closed,2021-01-09,2021-01-24,16,20,balbuena|balderas|boulevard-puerto-aereo|candelaria|chapultepec|cuauhtemoc|gomez-farias|insurgentes|isabel-la-catolica|juanacatlan|merced|moctezuma|observatorio|pantitlan|pino-suarez|salto-del-agua|san-lazaro|sevilla|tacubaya|zaragoza
2,closed,2021-01-09,2021-02-07,30,24,allende|bellas-artes|chabacano|colegio-militar|cuatro-caminos|cuitlahuac|ermita|general-anaya|hidalgo|nativitas|normal|panteones|pino-suarez|popotla|portales|revolucion|san-antonio-abad|san-cosme|tacuba|tasquena|viaducto|villa-de-cortes|xola|zocalo-tenochtitlan
3,closed,2021-01-09,2021-01-31,23,21,balderas|centro-medico|copilco|coyoacan|deportivo-18-de-marzo|division-del-norte|etiopia-plaza-de-la-transparencia|eugenia|guerrero|hidalgo|hospital-general|indios-verdes|juarez|la-raza|miguel-angel-de-quevedo|ninos-heroes|potrero|tlatelolco|universidad|viveros-derechos-humanos|zapata
9,closed,2021-03-27,2021-04-06,11,3,ciudad-deportiva|pantitlan|puebla
12,closed,2021-05-04,2023-01-14,621,9,atlalilco|eje-central|ermita|hospital-20-de-noviembre|insurgentes-sur|mexicaltzingo|mixcoac|parque-de-los-venados|zapata
12,closed,2021-05-04,2023-07-15,803,5,calle-11|culhuacan|lomas-estrella|periferico-oriente|san-andres-tomatlan
12,closed,2021-05-04,2024-01-09,981,1,tezonco
12,closed,2021-05-04,2024-01-11,983,1,tlahuac
12,closed,2021-05-04,2024-01-14,986,2,nopalera|olivos
12,closed,2021-05-04,2024-01-16,988,1,zapotitlan
12,closed,2021-05-04,2024-01-17,989,1,tlaltenco
3,closed,2021-05-12,2021-06-17,37,1,coyoacan
2,closed,2021-08-13,2021-09-28,47,1,zocalo-tenochtitlan
1,closed,2021-09-25,2021-10-01,7,1,insurgentes
1,closed,2021-11-01,2021-12-20,50,1,insurgentes
2,closed,2021-11-17,2021-12-01,15,1,zocalo-tenochtitlan
1,closed,2022-07-09,2024-09-12,797,2,isabel-la-catolica|salto-del-agua
1,closed,2022-07-11,2023-10-28,475,10,balbuena|boulevard-puerto-aereo|candelaria|gomez-farias|merced|moctezuma|pantitlan|pino-suarez|san-lazaro|zaragoza
1,closed,2023-11-10,2024-09-12,308,1,balderas
1,closed,2023-11-10,2025-04-22,530,4,chapultepec|cuauhtemoc|insurgentes|sevilla
1,closed,2023-11-10,2025-11-10,732,1,tacubaya
1,closed,2023-11-10,2025-11-15,737,2,juanacatlan|observatorio
9,closed,2023-12-17,2024-09-09,268,2,pantitlan|puebla
9,closed,2023-12-30,2024-09-09,255,1,ciudad-deportiva
12,closed,2024-01-18,2024-01-24,7,1,zapotitlan
2,closed,2024-06-10,2024-06-23,14,1,zocalo-tenochtitlan
2,closed,2025-05-15,2025-06-07,24,1,zocalo-tenochtitlan
7,closed,2025-12-28,2026-05-17,141,1,auditorio
2,closed,2026-03-15,2026-06-06,84,1,san-antonio-abad
2,closed,2026-05-01,2026-06-09,40,1,nativitas
2,closed,2026-05-01,2026-06-10,41,1,portales
2,closed,2026-05-26,2026-06-23,29,1,zocalo-tenochtitlan
2,closed,2026-05-30,2026-06-22,24,1,chabacano
